IDFrom	IDTo	Weight	Time
419	465	1	1463507482
872	453	1	1462337903
946	1154	1	1463167636
946	217	1	1463167636
946	844	1	1463167636
946	2004	1	1463167636
885	449	1	1462324386
885	1162	1	1462324386
885	1380	1	1462324386
499	1162	1	1463756736
885	449	1	1462085948
885	1162	1	1462085948
885	1380	1	1462085948
1673	872	1	1463979659
1673	453	1	1463979659
137	1162	1	1462944675
1805	1162	1	1462766591
1040	430	1	1462220349
1040	1162	1	1462220349
1040	1380	1	1462220349
885	1380	1	1462373371
885	1958	1	1462373371
885	1309	1	1462373371
885	1162	1	1462373371
885	246	1	1462373371
1836	453	1	1461754519
872	155	1	1463459889
872	453	1	1463459889
266	266	1	1461689385
453	359	1	1463593049
1445	1162	1	1462824827
1001	1673	1	1462978631
137	1162	1	1462190647
885	449	1	1464025793
885	1162	1	1464025793
885	1380	1	1464025793
1040	430	1	1462109974
1040	1162	1	1462109974
1040	1380	1	1462109974
1342	453	1	1462461056
1388	453	1	1462809773
838	453	1	1464013402
872	453	1	1462248616
872	996	1	1462248616
931	453	1	1463671629
1040	80	1	1461941590
1040	1448	1	1461941590
1040	1198	1	1461941590
1040	1309	1	1461941590
1040	1380	1	1461941590
1040	1162	1	1461941590
1040	1987	1	1461941590
693	453	1	1461576429
1629	1629	1	1462728978
1162	179	1	1463648125
453	898	1	1463218406
453	872	1	1462432825
1554	1773	1	1463647110
1554	329	1	1463647110
1554	203	1	1463647110
1554	1993	1	1463647110
704	453	1	1463979597
1673	635	1	1462351989
1040	80	1	1462356793
1040	1448	1	1462356793
1040	1198	1	1462356793
1040	1309	1	1462356793
1040	1380	1	1462356793
1040	1162	1	1462356793
1040	1987	1	1462356793
1040	80	1	1463760298
1040	1198	1	1463760298
1040	1987	1	1463760298
1040	1380	1	1463760298
1040	1162	1	1463760298
1040	1448	1	1463760298
453	872	1	1462430122
1162	704	1	1463133801
1162	1993	1	1464095464
1445	1162	1	1463658154
2033	453	1	1461905913
1954	453	1	1461583599
453	872	1	1462988960
1162	704	1	1462177410
872	1673	1	1463934179
872	453	1	1463934179
885	1380	1	1462879906
885	1778	1	1462879906
885	1309	1	1462879906
885	1162	1	1462879906
885	548	1	1462879906
1880	31	1	1462360602
223	1162	1	1461690941
